PLAYER_ID,name,team,height,weight,age,gp,min_pg,total_min,ppg,ts_pct,fg2_pct,fg2a,fg3_pct,fg3a,on_ball_def_fg_pct,interior_def_fg_pct,perimeter_def_fg_pct,avg_speed,blk,reb,ast,tov,net_off_rating,stl,net_def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1631127,Harrison Ingram,SAS,77,230,22.0,5,7.0,34.75,0.8,0.5,0.6666666666666666,0.6000000000000001,0.0,0.2,0.625,0.5,0.5,4.13,0.0,1.8,0.6,0.2,18.700000000000003,0.6,-24.599999999999994,35.0,11.36,0.0,0.2,0.0
1629312,Haywood Highsmith,MIA,77,220,28.0,74,24.6,1818.3266666666666,6.5,0.583,0.5454545454545455,2.1999999999999997,0.382,3.1,0.473,0.612,0.39,4.55,0.5,3.4,1.5,0.7,0.7999999999999972,0.9,-1.0,,,0.0,0.42,0.54
1630529,Herbert Jones,NOP,79,206,26.0,20,32.4,648.1316666666667,10.3,0.541,0.5399999999999999,5.0,0.306,3.6,0.5,0.648,0.425,4.35,0.5,3.9,3.3,1.8,2.799999999999997,1.9,-7.400000000000006,36.5,11.02,0.2,0.45,1.0
1641816,Hunter Tyson,DEN,80,215,25.0,51,7.8,399.935,2.6,0.506,0.44444444444444453,0.8999999999999999,0.311,1.5,0.483,0.66,0.4,4.54,0.1,1.5,0.4,0.3,-22.200000000000003,0.2,-6.5,,,0.03,0.28,0.2
1630193,Immanuel Quickley,TOR,74,190,26.0,33,27.8,917.7533333333333,17.1,0.57,0.4615384615384614,6.500000000000001,0.378,6.8,0.49,0.639,0.41,4.43,0.1,3.5,5.8,1.8,0.29999999999999716,0.7,-2.799999999999997,35.5,11.21,0.0,0.34,0.28
1642403,Isaac Jones,SAC,81,245,24.0,40,7.6,303.86333333333334,3.4,0.678,0.6842105263157894,1.9000000000000001,0.375,0.2,0.456,0.55,0.321,4.4,0.3,1.4,0.3,0.4,-11.900000000000006,0.1,0.19999999999998863,35.0,11.49,0.0,0.15,0.33
1630171,Isaac Okoro,CLE,77,225,24.0,55,19.1,1053.2033333333334,6.1,0.587,0.5909090909090908,2.2,0.371,2.7,0.423,0.538,0.353,4.42,0.3,2.4,1.2,0.4,2.799999999999997,0.6,-1.7999999999999972,,,0.04,0.48,0.56
1642268,Isaiah Collier,UTA,75,210,20.0,71,25.9,1839.1066666666666,8.7,0.494,0.49999999999999994,5.4,0.249,2.4,0.508,0.694,0.392,4.23,0.2,3.3,6.3,2.9,-1.0,0.9,0.7999999999999972,34.0,10.77,0.06,0.51,0.1
1642384,Isaiah Crawford,SAC,78,220,23.0,15,3.0,45.666666666666664,0.9,0.509,0.5,0.39999999999999997,0.2,0.3,0.357,0.167,0.5,4.19,0.1,0.5,0.1,0.1,-3.799999999999997,0.1,-22.799999999999997,,,0.0,0.0,0.5
1628392,Isaiah Hartenstein,OKC,84,250,27.0,57,27.9,1589.6416666666667,11.2,0.599,0.6049382716049383,8.1,0.0,0.3,0.464,0.592,0.377,4.44,1.1,10.7,3.8,1.7,0.0,0.8,0.20000000000000284,,,0.0,0.53,2.63
1630543,Isaiah Jackson,IND,81,205,23.0,5,16.8,83.88,7.0,0.6,0.6086956521739131,4.6,0.0,0.0,0.413,0.423,0.385,4.28,1.6,5.6,1.0,1.0,-2.9000000000000057,0.6,-6.200000000000003,,,0.0,0.4,0.6
1630198,Isaiah Joe,OKC,75,165,25.0,74,21.7,1603.9766666666667,10.2,0.617,0.5624999999999998,1.6000000000000005,0.412,6.3,0.462,0.645,0.341,4.42,0.1,2.6,1.6,0.5,3.1000000000000085,0.6,-1.9000000000000057,,,0.23,0.53,0.23
1630600,Isaiah Mobley,PHI,80,238,25.0,1,17.4,17.366666666666667,6.0,0.381,0.25,4.0,0.333,3.0,0.529,0.6,0.25,4.44,1.0,4.0,5.0,0.0,-0.09999999999999432,1.0,-3.0,32.0,12.7,0.0,0.0,0.0
1641815,Isaiah Stevens,MIA,72,185,24.0,3,1.8,5.55,0.0,0.0,0.0,0.39999999999999997,0.0,0.3,,,,3.95,0.0,0.7,0.0,0.0,-50.599999999999994,0.3,-81.9,,,0.0,0.0,0.0
1630191,Isaiah Stewart,DET,80,250,24.0,72,19.9,1433.8483333333334,6.0,0.616,0.5945945945945945,3.7,0.321,0.7,0.432,0.524,0.353,4.11,1.4,5.5,1.7,0.9,-6.5,0.4,-4.1000000000000085,,,0.0,0.38,1.61
1631209,Isaiah Wong,CHA,75,185,24.0,20,13.3,265.50333333333333,6.0,0.5,0.38888888888888895,3.5999999999999996,0.394,1.7,0.451,0.593,0.241,4.53,0.0,1.6,1.4,0.9,-8.099999999999994,0.6,-12.300000000000011,37.0,10.93,0.06,0.59,0.06
1627826,Ivica Zubac,LAC,84,240,28.0,80,32.8,2624.1766666666667,16.8,0.641,0.6271186440677966,11.8,0.0,0.0,0.458,0.55,0.357,3.93,1.1,12.6,2.7,1.6,9.799999999999997,0.7,-3.1000000000000085,,,0.0,0.44,2.6
1631120,JD Davison,BOS,73,195,22.0,16,5.8,92.915,2.1,0.445,0.5,1.0,0.222,1.1,0.318,0.5,0.0,4.09,0.1,0.8,0.8,0.8,-28.39999999999999,0.3,-4.699999999999989,37.0,11.38,0.0,0.1,0.2
