PLAYER_ID,name,team,height,weight,age,ppg,ts_pct,on_ball_def_fg_pct,blk,reb,ast,tov,off_rating,stl,def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
203486,Mason Plumlee,PHX,82,254,35.0,4.5,0.645,0.505,0.6,6.1,1.8,0.8,115.2,0.4,115.0,36.0,10.89,0.01,0.22,1.14
1641824,Matas Buzelis,CHI,82,209,20.0,8.6,0.571,0.459,0.9,3.5,1.0,0.9,110.4,0.4,112.1,38.0,10.73,0.01,0.35,0.39
1629680,Matisse Thybulle,POR,77,201,28.0,7.5,0.592,0.463,0.6,3.5,1.9,0.9,105.3,2.2,105.1,,,0.0,0.4,0.13
1630346,Matt Ryan,NOP,78,215,28.0,1.5,0.439,0.5,0.0,0.4,0.2,0.2,80.5,0.1,108.8,,,0.14,0.14,0.0
1631108,Max Christie,DAL,77,190,22.0,9.6,0.57,0.473,0.4,3.3,1.9,1.1,112.6,0.8,114.3,37.5,10.82,0.0,0.28,0.35
1629622,Max Strus,CLE,77,215,29.0,9.4,0.607,0.492,0.2,4.3,3.2,1.1,120.1,0.5,112.2,,,0.08,0.68,0.46
1628467,Maxi Kleber,LAL,82,240,33.0,3.0,0.489,0.497,0.5,2.8,1.3,0.7,111.9,0.3,112.3,,,0.0,0.26,0.85
1641721,Maxwell Lewis,BKN,79,215,22.0,4.1,0.516,0.504,0.3,2.0,0.7,0.5,101.2,0.3,110.7,36.5,11.4,0.0,0.09,0.14
1630695,Micah Potter,UTA,81,248,27.0,4.3,0.563,0.437,0.4,4.3,0.8,0.8,108.6,0.4,116.2,,,0.03,0.24,0.97
1629008,Michael Porter Jr.,DEN,82,218,27.0,18.2,0.617,0.482,0.5,7.0,2.1,1.4,119.8,0.6,115.4,,,0.0,0.44,0.6
1628969,Mikal Bridges,NYK,78,209,28.0,17.6,0.585,0.464,0.5,3.2,3.7,1.6,118.4,0.9,112.9,,,0.0,0.73,0.35
201144,Mike Conley,MIN,72,175,37.0,8.2,0.573,0.484,0.2,2.6,4.5,1.1,115.5,1.1,109.0,40.5,11.63,0.1,0.42,0.32
1628970,Miles Bridges,CHA,79,225,27.0,20.3,0.541,0.424,0.7,7.5,3.9,2.1,108.2,0.7,113.6,,,0.03,0.5,0.84
1630540,Miles McBride,NYK,73,195,24.0,9.5,0.531,0.442,0.3,2.5,2.9,0.6,116.8,1.0,109.7,38.5,11.08,0.03,0.56,0.48
1641936,Miles Norris,BOS,79,220,25.0,2.3,0.354,0.167,0.3,3.0,0.0,0.0,87.7,0.7,110.9,,,0.0,0.67,0.67
1629011,Mitchell Robinson,NYK,84,240,27.0,5.1,0.676,0.461,1.1,5.9,0.8,0.6,113.8,0.9,108.2,,,0.0,0.65,1.65
1628964,Mo Bamba,NOP,84,231,27.0,4.3,0.557,0.443,1.0,4.5,0.6,0.6,103.5,0.3,112.5,,,0.0,0.31,0.91
1628420,Monte Morris,PHX,74,183,30.0,5.2,0.546,0.424,0.1,1.5,1.6,0.5,111.1,0.4,108.3,33.5,11.0,0.0,0.21,0.23
1629021,Moritz Wagner,ORL,83,245,28.0,12.9,0.649,0.513,0.4,4.9,1.4,1.6,106.1,0.8,107.0,34.0,11.48,0.17,0.38,1.14
1629650,Moses Brown,DAL,86,258,25.0,5.8,0.706,0.449,0.3,3.4,0.2,0.8,101.5,0.5,105.9,31.0,11.95,0.0,0.09,0.45
1630541,Moses Moody,GSW,77,211,23.0,9.8,0.578,0.476,0.4,2.6,1.3,0.7,113.2,0.8,108.9,,,0.06,0.54,0.41
1631243,Mouhamed Gueye,ATL,82,210,22.0,6.0,0.52,0.447,1.0,4.2,0.8,0.5,113.4,0.8,104.7,,,0.03,0.34,0.66
1631217,Moussa Diabaté,CHA,81,210,23.0,5.7,0.609,0.478,0.6,6.2,0.8,0.9,106.9,0.6,110.3,36.5,11.16,0.0,0.53,1.54
1626167,Myles Turner,IND,83,250,29.0,15.6,0.612,0.486,2.0,6.5,1.5,1.7,116.1,0.8,111.5,,,0.0,0.33,1.69
1642368,N'Faly Dante,HOU,83,230,23.0,6.0,0.789,0.5,1.3,5.3,0.5,0.5,114.9,0.3,123.5,33.0,11.55,0.0,0.0,0.5
1641772,Nae'Qwan Tomlin,CLE,82,210,24.0,7.2,0.489,0.4,0.2,4.2,0.4,0.4,96.4,0.0,92.0,32.5,11.63,0.0,0.25,1.0
1630230,Naji Marshall,DAL,78,220,27.0,13.2,0.584,0.467,0.2,4.8,3.0,1.6,111.5,1.0,114.7,35.0,11.77,0.01,0.62,0.59
1631466,Nate Williams,HOU,77,205,26.0,3.3,0.496,0.527,0.2,0.7,0.5,0.7,110.6,0.4,116.8,,,0.0,0.25,0.25
1629675,Naz Reid,MIN,81,264,25.0,14.2,0.577,0.452,0.9,6.0,2.3,1.4,116.2,0.7,108.8,32.5,12.03,0.05,0.54,1.03
1629674,Neemias Queta,BOS,84,248,25.0,5.0,0.674,0.459,0.7,3.8,0.7,0.6,117.4,0.3,108.3,33.0,11.85,0.0,0.16,1.05
1629651,Nic Claxton,BKN,83,215,26.0,10.3,0.569,0.498,1.4,7.4,2.2,1.2,103.6,0.9,116.2,36.5,11.26,0.03,0.41,1.17
1630208,Nick Richards,PHX,84,245,27.0,9.3,0.634,0.494,1.0,8.2,0.9,1.4,112.3,0.2,120.9,34.0,11.42,0.05,0.4,1.72
1641733,Nick Smith Jr.,CHA,74,185,21.0,9.9,0.502,0.512,0.1,2.1,2.4,1.4,102.1,0.3,116.4,,,0.02,0.43,0.18
1629638,Nickeil Alexander-Walker,MIN,77,205,26.0,9.4,0.579,0.483,0.4,3.2,2.7,1.2,115.1,0.6,108.5,,,0.04,0.49,0.56
