name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
Keon Johnson,BKN,73.1,56.0,8.0,7.2,51.6,49.3,40.1,15.5,61.3,23.7,34.7,73.9,70.7,75.1,88.1,18.1
Kessler Edwards,DAL,8.0,7.5,56.0,87.3,64.7,26.4,40.1,25.1,22.1,0.8,0.4,18.4,88.9,6.0,24.0,70.7
Kevin Durant,PHX,87.2,98.4,68.0,86.1,93.9,80.1,59.3,90.1,90.4,53.9,36.1,52.1,2.1,23.6,58.1,64.8
Kevin Huerter,CHI,60.3,50.1,75.9,61.9,38.4,29.3,64.3,98.1,74.9,64.9,92.7,73.9,83.6,19.6,24.0,23.9
Kevin Porter Jr.,MIL,52.3,54.0,30.9,12.9,22.4,46.3,71.2,7.7,28.5,58.0,51.5,80.7,69.3,57.2,24.0,42.1
Kevon Looney,GSW,34.4,9.3,42.1,97.1,64.7,81.3,59.3,46.8,7.6,26.3,77.5,29.5,31.3,43.6,24.0,87.7
Keyonte George,UTA,80.3,78.8,8.8,4.9,7.3,49.3,86.1,70.0,90.9,73.9,1.3,40.9,17.9,52.9,83.7,13.3
Khris Middleton,WAS,21.3,61.9,54.3,55.9,22.4,46.3,84.3,88.7,51.7,16.0,30.4,64.0,46.4,55.2,94.9,73.6
Klay Thompson,DAL,75.2,70.5,5.6,76.9,51.6,39.1,44.7,57.7,95.2,38.4,20.1,40.9,48.1,35.6,24.0,11.3
Kris Dunn,LAC,65.3,20.8,57.5,34.1,51.6,39.1,74.0,64.3,38.3,46.7,79.7,97.5,81.3,95.9,24.0,18.1
Kris Murray,POR,29.1,7.5,66.4,96.0,22.4,19.7,20.7,14.1,16.0,40.7,92.7,18.4,82.5,49.3,83.7,54.9
Kristaps Porziņģis,BOS,37.9,86.7,44.8,99.7,97.1,85.7,44.7,26.8,88.8,44.9,33.1,40.9,4.5,57.2,24.0,88.3
Kyle Anderson,MIA,28.3,16.9,20.5,36.9,64.7,39.1,74.0,1.9,16.8,82.9,81.2,40.9,40.5,2.8,78.1,66.7
Kyle Filipowski,UTA,53.6,48.4,84.9,9.7,38.4,81.3,25.6,35.5,41.1,29.6,34.7,40.9,50.4,30.7,50.7,72.9
Kyle Kuzma,MIL,73.6,74.7,32.8,38.4,38.4,77.2,6.9,15.5,57.1,97.6,3.7,29.5,54.9,6.0,93.3,53.7
Kyle Lowry,PHI,10.9,4.8,26.5,33.2,38.4,8.7,79.2,7.1,31.2,7.1,96.3,64.0,5.6,45.9,97.2,61.3
Kyrie Irving,DAL,66.4,96.1,33.9,30.1,64.7,66.3,82.3,91.9,93.3,81.3,41.9,89.7,4.5,96.4,73.2,35.7
Kyshawn George,WAS,66.1,38.8,12.0,83.5,79.7,57.2,59.3,66.3,63.5,81.1,68.8,73.9,91.6,87.7,50.7,59.9
LaMelo Ball,CHA,52.8,96.8,16.0,15.1,38.4,68.0,94.3,98.8,98.9,13.5,17.1,80.7,70.7,95.9,24.0,32.1
Landry Shamet,NYK,16.0,15.9,82.7,7.5,0.8,1.2,8.7,17.9,49.6,24.3,96.5,18.4,88.9,9.7,58.1,53.7
Lauri Markkanen,UTA,51.7,84.9,44.3,48.8,51.6,79.3,10.4,78.9,93.9,26.3,63.6,40.9,46.4,62.3,24.0,81.3
LeBron James,LAL,91.7,95.1,75.9,22.5,74.1,90.3,98.4,44.0,81.1,69.3,7.2,73.9,1.1,82.0,92.4,65.7
Lindy Waters III,DET,17.1,11.5,29.9,25.2,22.4,10.9,32.1,33.3,50.1,55.2,59.2,18.4,94.1,4.9,88.1,40.5
Lonzo Ball,CHI,16.8,32.1,9.3,38.9,64.7,39.1,78.0,63.1,74.7,65.6,94.5,89.7,50.4,68.3,24.0,38.8
